City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
Hithadhoo,MV,-0.6,73.0833,81.34,scattered clouds,Scoop Guest House
Brokopondo,SR,4.75,-55.1667,77.02,broken clouds,Matu Island
Bambous Virieux,MU,-20.3428,57.7575,80.22,few clouds,Casa Tia Villa
Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,broken clouds,Pousada Porto Praia
Mahebourg,MU,-20.4081,57.7,80.26,few clouds,Shandrani Beachcomber Resort & Spa
Roebourne,AU,-20.7833,117.1333,87.89,scattered clouds,Latitude20 Roebourne Village
Hobyo,SO,5.3505,48.5268,81.3,broken clouds,Halane Hotel and Restaurent
Butaritari,KI,3.0707,172.7902,81.61,light rain,Isles Sunset Lodge
Waingapu,ID,-9.6567,120.2641,87.57,broken clouds,Pondok Wisata Elim
Souillac,MU,-20.5167,57.5167,79.18,few clouds,Shanti Maurice Resort & Spa
Carutapera,BR,-1.195,-46.02,77.47,clear sky,Lidera
Weligama,LK,5.9667,80.4167,84.04,scattered clouds,Weligama Bay Resort
Lashio,MM,22.9333,97.75,80.44,scattered clouds,Hotel CF Lashio - Burmese Only
Georgetown,MY,5.4112,100.3354,85.95,scattered clouds,Cititel Penang
Carnarvon,AU,-24.8667,113.6333,81.25,scattered clouds,Hospitality Carnarvon
Busselton,AU,-33.65,115.3333,82.99,scattered clouds,Observatory Guest House
Trairi,BR,-3.2778,-39.2689,79.61,overcast clouds,janelas do mar
Karratha,AU,-20.7377,116.8463,87.85,broken clouds,ibis Styles Karratha
Denpasar,ID,-8.65,115.2167,85.71,heavy intensity rain,OYO 3156 Hotel Warta Dua
Bengkulu,ID,-3.8004,102.2655,83.46,broken clouds,Grage Hotel Bengkulu
Caravelas,BR,-17.7125,-39.2481,70.72,overcast clouds,Pousada dos Navegantes
Sao Filipe,CV,14.8961,-24.4956,76.44,overcast clouds,Hotel Xaguate
Nelson Bay,AU,-32.7167,152.15,71.1,clear sky,Mantra Nelson Bay
Kavieng,PG,-2.5744,150.7967,84.74,light rain,Nusa Island Retreat
San Policarpo,PH,12.1791,125.5072,83.28,scattered clouds,Agapita M. Nicart
Saint-Philippe,RE,-21.3585,55.7679,80.19,overcast clouds,Le four à pain
Namatanai,PG,-3.6667,152.4333,85.42,overcast clouds,Seagulls Inn Namatani
Chittaurgarh,IN,24.8833,74.6333,75.43,few clouds,OYO 37736 Hotel Bhagyoday
Bathsheba,BB,13.2167,-59.5167,81.21,few clouds,Atlantis Hotel
Mangrol,IN,21.1167,70.1167,81.16,broken clouds,Hotel The Royal Honours
Port Shepstone,ZA,-30.7414,30.455,71.26,overcast clouds,My Den Beachfront Bed and Breakfast | Self-Catering
Kloulklubed,PW,7.0419,134.2556,84.7,overcast clouds,Storyboard Beach Resort
Kaduqli,SD,11.0167,29.7167,74.86,broken clouds,Nussyba
Sinnamary,GF,5.3833,-52.95,78.28,scattered clouds,ALETHEIA Appartement Sinnamary
Naze,JP,28.3667,129.4833,74.32,few clouds,Shishime Hotel
Eyl,SO,7.9803,49.8164,80.02,clear sky,EYL AQUE SYSTEM
Marawi,PH,7.9986,124.2928,80.22,broken clouds,Derogongan Residence
Takoradi,GH,4.8845,-1.7554,77.29,clear sky,Raybow International Hotel
Matara,LK,5.9485,80.5353,84.56,scattered clouds,Amaloh Boutique Resort
Nizwa,OM,22.9333,57.5333,75.4,scattered clouds,Orient Apartments
Domoni,KM,-12.2569,44.5319,80.89,clear sky,Al Djadid
Sola,VU,-13.8833,167.55,82.85,few clouds,Leumerus Bungalows
Puerto Ayacucho,VE,5.6639,-67.6236,73.78,scattered clouds,Posada Turistica Manapiare
Coruripe,BR,-10.1256,-36.1756,74.12,overcast clouds,Pousada e Hotel Litoral Sul
Tabou,CI,4.423,-7.3528,77.22,clear sky,hotêl doufoulougou
Victoria,HK,22.2855,114.1577,78.96,overcast clouds,Mini Central
Bambanglipuro,ID,-7.95,110.2833,81.55,overcast clouds,Puri Brata
Veraval,IN,20.9,70.3667,81.81,broken clouds,Lords Inn Somnath
Banjar,ID,-8.19,114.9675,85.86,overcast clouds,The Hamsa Resort
Hambantota,LK,6.1241,81.1185,84.54,few clouds,Bungalow 63
