City_Description,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,81.34,73,25,10.83,scattered clouds
1,Dikson,RU,73.5069,80.5464,-22.67,98,70,8.52,broken clouds
2,Brokopondo,SR,4.75,-55.1667,77.02,88,65,8.14,broken clouds
3,Bredasdorp,ZA,-34.5322,20.0403,62.8,66,92,0.76,overcast clouds
4,Katsuura,JP,35.1333,140.3,65.3,68,80,10.85,broken clouds
5,Salsomaggiore Terme,IT,44.8148,9.9796,43.92,97,100,8.79,heavy intensity rain
6,East London,ZA,-33.0153,27.9116,68.94,94,75,11.5,light rain
7,Nikolskoye,RU,59.7035,30.7861,19.29,88,100,5.86,overcast clouds
8,Hasaki,JP,35.7333,140.8333,68.22,56,61,17.02,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,66.78,90,97,21.0,overcast clouds
10,Bollnas,SE,61.3482,16.3946,32.47,88,99,10.25,light snow
11,Bambous Virieux,MU,-20.3428,57.7575,80.22,69,20,4.61,few clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,88,63,20.11,broken clouds
13,Mahebourg,MU,-20.4081,57.7,80.26,69,20,4.61,few clouds
14,Roebourne,AU,-20.7833,117.1333,87.89,39,48,19.06,scattered clouds
15,Husavik,IS,66.0449,-17.3389,38.46,85,70,10.94,broken clouds
16,Hobart,AU,-42.8794,147.3294,60.66,50,0,24.16,clear sky
17,Hobyo,SO,5.3505,48.5268,81.3,62,58,18.21,broken clouds
18,Butaritari,KI,3.0707,172.7902,81.61,78,26,13.62,light rain
19,Waingapu,ID,-9.6567,120.2641,87.57,60,78,9.06,broken clouds
20,Bluff,NZ,-46.6,168.3333,55.8,78,86,6.44,overcast clouds
21,Perelyub,RU,51.8667,50.3667,29.52,93,97,9.33,overcast clouds
22,Jamestown,US,42.097,-79.2353,40.59,52,0,6.91,clear sky
23,Hermanus,ZA,-34.4187,19.2345,61.81,70,97,5.19,overcast clouds
24,Souillac,MU,-20.5167,57.5167,79.18,69,20,4.61,few clouds
25,Albany,US,42.6001,-73.9662,38.88,50,30,1.01,scattered clouds
26,Qaanaaq,GL,77.484,-69.3632,-2.13,79,99,5.53,overcast clouds
27,Svetlogorsk,BY,52.6333,29.7333,27.54,97,100,8.81,light snow
28,Xining,CN,36.6167,101.7667,40.01,47,6,4.65,clear sky
29,Yerbogachen,RU,61.2767,108.0108,-2.49,94,99,2.1,overcast clouds
30,Bougouni,ML,11.417,-7.479,68.65,23,94,5.41,overcast clouds
31,Severo-Kurilsk,RU,50.6789,156.125,43.74,91,100,30.62,moderate rain
32,Carutapera,BR,-1.195,-46.02,77.47,84,6,6.87,clear sky
33,Perama,GR,37.9757,23.5828,58.66,61,0,2.3,clear sky
34,Cape Town,ZA,-33.9258,18.4232,67.37,71,20,9.22,few clouds
35,Alice Springs,AU,-23.7,133.8833,69.35,43,100,8.05,overcast clouds
36,New Norfolk,AU,-42.7826,147.0587,60.3,49,34,11.01,scattered clouds
37,Aljezur,PT,37.3191,-8.8033,59.41,81,100,7.58,overcast clouds
38,Villa Carlos Paz,AR,-31.4241,-64.4978,55.38,43,0,1.99,clear sky
39,Ushuaia,AR,-54.8,-68.3,49.66,71,40,10.36,scattered clouds
40,Moose Factory,CA,51.2585,-80.6094,10.4,72,75,11.5,broken clouds
41,Borogontsy,RU,62.6683,131.1683,-19.62,99,99,2.24,overcast clouds
42,Jabinyanah,TN,35.035,10.9081,55.2,49,35,29.1,scattered clouds
43,Weligama,LK,5.9667,80.4167,84.04,67,49,8.63,scattered clouds
44,Lashio,MM,22.9333,97.75,80.44,41,34,2.57,scattered clouds
45,Chokurdakh,RU,70.6333,147.9167,-28.03,100,99,1.92,overcast clouds
46,Saint George,US,37.1041,-113.5841,43.39,37,0,3.0,clear sky
47,Arys,KZ,42.4252,68.795,52.95,68,100,8.57,light rain
48,Cabra,ES,37.4725,-4.4421,49.06,90,100,0.98,overcast clouds
49,Japura,ID,-0.3167,102.35,93.38,45,76,3.78,broken clouds
50,Georgetown,MY,5.4112,100.3354,85.95,76,40,5.99,scattered clouds
51,Shangrao,CN,28.4532,117.9686,65.97,94,100,3.38,overcast clouds
52,Carnarvon,AU,-24.8667,113.6333,81.25,55,48,18.66,scattered clouds
53,Busselton,AU,-33.65,115.3333,82.99,31,31,5.28,scattered clouds
54,Virginia Beach,US,36.8529,-75.978,46.02,81,75,0.0,broken clouds
55,Trairi,BR,-3.2778,-39.2689,79.61,72,90,12.68,overcast clouds
56,Wittingen,DE,52.7269,10.7361,33.8,100,100,11.23,overcast clouds
57,Karratha,AU,-20.7377,116.8463,87.85,39,61,20.74,broken clouds
58,Denpasar,ID,-8.65,115.2167,85.71,79,40,11.5,heavy intensity rain
59,Bengkulu,ID,-3.8004,102.2655,83.46,68,57,9.78,broken clouds
60,Gazojak,TM,41.1875,61.4036,53.69,57,100,8.14,overcast clouds
61,Tuatapere,NZ,-46.1333,167.6833,58.17,59,83,6.58,light rain
62,Krasnoselkup,RU,65.7,82.4667,-18.6,93,41,10.78,scattered clouds
63,Sopelana,ES,43.3789,-2.9831,52.41,59,75,9.22,broken clouds
64,Caravelas,BR,-17.7125,-39.2481,70.72,92,100,5.79,overcast clouds
65,Port Alfred,ZA,-33.5906,26.891,66.18,88,100,3.0,overcast clouds
66,Nizhnyaya Poyma,RU,56.1622,97.1933,11.39,70,95,6.04,overcast clouds
67,Awjilah,LY,29.1081,21.2869,57.07,83,0,5.82,clear sky
68,Sao Filipe,CV,14.8961,-24.4956,76.44,63,89,10.92,overcast clouds
69,Nelson Bay,AU,-32.7167,152.15,71.1,38,0,7.0,clear sky
70,Aleksandriya,RU,45.0947,43.2456,50.32,78,98,7.16,overcast clouds
71,Kavieng,PG,-2.5744,150.7967,84.74,70,33,9.6,light rain
72,Khatanga,RU,71.9667,102.5,-35.9,99,95,0.85,overcast clouds
73,San Rafael,AR,-34.6177,-68.3301,61.7,38,1,4.85,clear sky
74,Kaitangata,NZ,-46.2817,169.8464,59.05,77,78,5.23,broken clouds
75,Kamenka,RU,51.3223,42.7678,36.37,99,100,8.68,overcast clouds
76,Manono,CD,-7.3,27.4167,67.5,95,100,1.9,overcast clouds
77,Taoudenni,ML,22.6783,-3.9836,59.02,33,93,9.95,overcast clouds
78,Port Lincoln,AU,-34.7333,135.8667,60.84,60,98,14.32,overcast clouds
79,San Policarpo,PH,12.1791,125.5072,83.28,79,28,8.63,scattered clouds
80,Cherskiy,RU,68.75,161.3,-37.43,100,46,2.64,scattered clouds
81,Narsaq,GL,60.9167,-46.05,24.62,80,79,4.54,broken clouds
82,Vostok,RU,46.4856,135.8833,17.17,75,84,9.8,broken clouds
83,Luderitz,NA,-26.6481,15.1594,63.99,72,0,4.45,clear sky
84,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,6.91,broken clouds
85,Dasoguz,TM,41.8363,59.9666,40.95,93,75,6.91,mist
86,Alihe,CN,50.5667,123.7167,17.08,56,54,1.45,broken clouds
87,Udachnyy,RU,66.4167,112.4,-24.81,100,80,2.91,broken clouds
88,Pangkalanbuun,ID,-2.6833,111.6167,93.06,48,76,4.59,broken clouds
89,Ahipara,NZ,-35.1667,173.1667,62.83,97,100,15.68,light rain
90,Turda,RO,46.5667,23.7833,33.84,100,75,2.3,mist
91,Saint-Philippe,RE,-21.3585,55.7679,80.19,76,90,8.01,overcast clouds
92,Plettenberg Bay,ZA,-34.0527,23.3716,62.44,79,95,2.3,overcast clouds
93,Namatanai,PG,-3.6667,152.4333,85.42,63,92,9.24,overcast clouds
94,Hofn,IS,64.2539,-15.2082,41.11,77,92,15.17,overcast clouds
95,Chittaurgarh,IN,24.8833,74.6333,75.43,23,23,4.99,few clouds
96,Slatina,RO,44.4333,24.3667,38.46,83,35,5.17,scattered clouds
97,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,20.71,few clouds
98,Mangrol,IN,21.1167,70.1167,81.16,33,82,8.93,broken clouds
99,Laukaa,RU,58.7372,29.8453,20.57,90,100,7.85,overcast clouds
100,Lasa,IT,46.6166,10.7002,36.48,95,100,3.2,overcast clouds
101,Port Shepstone,ZA,-30.7414,30.455,71.26,77,86,14.56,overcast clouds
102,Kloulklubed,PW,7.0419,134.2556,84.7,76,100,8.79,overcast clouds
103,Kaduqli,SD,11.0167,29.7167,74.86,35,70,8.7,broken clouds
104,Mala Tokmachka,UA,47.5356,35.8929,53.91,93,100,11.48,light rain
105,Port Hedland,AU,-20.3167,118.5667,93.25,27,93,13.8,overcast clouds
106,Aleksandrov Gay,RU,50.147,48.5704,39.24,97,100,9.22,overcast clouds
107,Port Elizabeth,ZA,-33.918,25.5701,65.32,81,0,13.8,clear sky
108,Cidreira,BR,-30.1811,-50.2056,69.85,93,100,7.78,light rain
109,Iqaluit,CA,63.7506,-68.5145,11.93,85,20,5.75,few clouds
110,Marsa Matruh,EG,31.3525,27.2453,59.2,82,0,3.44,clear sky
111,Tiksi,RU,71.6872,128.8694,-22.54,100,94,2.91,overcast clouds
112,Atasu,KZ,48.6814,71.6433,24.8,94,98,6.26,overcast clouds
113,Asau,RO,46.4333,26.4,29.32,93,95,4.47,overcast clouds
114,Sinnamary,GF,5.3833,-52.95,78.28,83,28,10.92,scattered clouds
115,Naze,JP,28.3667,129.4833,74.32,72,13,12.39,few clouds
116,Ilabaya,PE,-17.4208,-70.5133,63.23,66,13,1.41,few clouds
117,Eyl,SO,7.9803,49.8164,80.02,60,8,19.04,clear sky
118,Imeni Poliny Osipenko,RU,52.4201,136.4853,20.1,69,18,4.9,few clouds
119,Jinchang,CN,38.4953,102.1739,49.26,26,14,8.99,few clouds
120,Ostrovnoy,RU,68.0531,39.5131,32.5,95,98,8.23,overcast clouds
121,Edeia,BR,-17.3383,-49.9314,69.42,76,73,4.81,broken clouds
122,Leningradskiy,RU,69.3833,178.4167,-13.47,90,99,14.94,overcast clouds
123,Ponta Do Sol,PT,32.6667,-17.1,65.71,76,37,2.17,scattered clouds
124,San Lazaro,BZ,18.0387,-88.6622,68.72,96,96,1.36,overcast clouds
125,Sakata,JP,38.9167,139.855,53.78,54,40,11.5,scattered clouds
126,Pevek,RU,69.7008,170.3133,-22.36,100,98,4.83,overcast clouds
127,Marawi,PH,7.9986,124.2928,80.22,71,57,5.06,broken clouds
128,Nanortalik,GL,60.1432,-45.2371,28.98,83,99,9.35,overcast clouds
129,Takoradi,GH,4.8845,-1.7554,77.29,87,4,5.59,clear sky
130,Turayf,SA,31.6725,38.6637,50.25,87,0,9.22,clear sky
131,Old Town,CZ,50.087,14.4202,32.9,95,100,9.22,fog
132,Torbay,CA,47.6666,-52.7314,30.58,71,20,34.52,few clouds
133,Emba,KZ,48.8264,58.1442,34.03,100,100,1.19,overcast clouds
134,Sobolevo,RU,54.4299,31.8996,27.81,97,100,9.75,light snow
135,Nemuro,JP,43.3236,145.575,42.22,63,67,18.68,broken clouds
136,Andenes,NO,69.3143,16.1194,32.94,86,0,10.36,clear sky
137,Maldonado,UY,-34.6667,-54.9167,61.99,96,100,13.67,overcast clouds
138,Matara,LK,5.9485,80.5353,84.56,66,50,8.48,scattered clouds
139,Nizwa,OM,22.9333,57.5333,75.4,44,41,0.92,scattered clouds
140,Kyshtovka,RU,56.555,76.6271,13.84,93,100,11.99,overcast clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,57.22,94,100,11.99,overcast clouds
